ID,city,postcode,state
475,CORRABARE,2325,NSW
476,OLNEY,2325,NSW
477,QUORROBOLONG,2325,NSW
478,KERRABEE,2328,NSW
479,WIDDEN,2328,NSW
480,BIG YENGO,2330,NSW
481,BOWMANS CREEK,2330,NSW
482,BRIDGMAN,2330,NSW
483,CARROWBROOK,2330,NSW
484,DOYLES CREEK,2330,NSW
485,DURAL,2330,NSW
486,DYRRING,2330,NSW
487,FALBROOK,2330,NSW
488,GARLAND VALLEY,2330,NSW
489,GOORANGOOLA,2330,NSW
490,GREENLANDS,2330,NSW
491,ATHOL,4350,QLD
492,BLUE MOUNTAIN HEIGHTS,4350,QLD
493,CENTENARY HEIGHTS,4350,QLD
494,CHARLTON,4350,QLD
495,CLIFFORD GARDENS,4350,QLD
496,COTSWOLD HILLS,4350,QLD
497,CRANLEY,4350,QLD
498,DARLING HEIGHTS,4350,QLD
499,DRAYTON,4350,QLD
500,DRAYTON NORTH,4350,QLD
501,EAST TOOWOOMBA,4350,QLD
502,FINNIE,4350,QLD
503,GLENVALE,4350,QLD
504,GOWRIE MOUNTAIN,4350,QLD
505,HARLAXTON,4350,QLD
506,HARRISTOWN,4350,QLD
507,KEARNEYS SPRING,4350,QLD
508,MIDDLE RIDGE,4350,QLD
509,MOUNT KYNOCH,4350,QLD
510,MOUNT LOFTY,4350,QLD
511,MOUNT RASCAL,4350,QLD
512,NEWTOWN,4350,QLD
513,NORTH TOOWOOMBA,4350,QLD
514,NORTHLANDS,4350,QLD
515,PRINCE HENRY HEIGHTS,4350,QLD
516,RANGEVILLE,4350,QLD
517,REDWOOD,4350,QLD
518,ROCKVILLE,4350,QLD
519,SOUTH TOOWOOMBA,4350,QLD
520,SOUTHTOWN,4350,QLD
521,TOOWOOMBA,4350,QLD
522,TOOWOOMBA BC,4350,QLD
523,TOOWOOMBA CITY,4350,QLD
524,TOOWOOMBA DC,4350,QLD
525,TOOWOOMBA EAST,4350,QLD
526,TOOWOOMBA SOUTH,4350,QLD
527,TOOWOOMBA VILLAGE FAIR,4350,QLD
528,TOOWOOMBA WEST,4350,QLD
529,TOP CAMP,4350,QLD
530,TORRINGTON,4350,QLD
531,WELLCAMP,4350,QLD
532,WESTBROOK,4350,QLD
533,WILSONTON,4350,QLD
534,WILSONTON HEIGHTS,4350,QLD
535,WYALLA PLAZA,4350,QLD
536,BALLARD,4352,QLD
537,BAPAUME,4352,QLD
538,BIRNAM,4352,QLD
539,BLANCHVIEW,4352,QLD
540,BRANCHVIEW,4352,QLD
541,CABARLAH,4352,QLD
542,CAWDOR,4352,QLD
543,CEMENT MILLS,4352,QLD
544,COALBANK,4352,QLD
545,CONDAMINE PLAINS,4352,QLD
546,CUTELLA,4352,QLD
547,DERRYMORE,4352,QLD
548,DJUAN,4352,QLD
549,DOCTOR CREEK,4352,QLD
550,EVERGREEN,4352,QLD
551,FIFTEEN MILE,4352,QLD
552,GEHAM,4352,QLD
553,GLENCOE,4352,QLD
554,GORE,4352,QLD
555,GOWRIE JUNCTION,4352,QLD
556,GOWRIE LITTLE PLAIN,4352,QLD
557,GRAPETREE,4352,QLD
558,GROOMSVILLE,4352,QLD
559,HAMPTON,4352,QLD
560,HIGHFIELDS,4352,QLD
561,HIGHGROVE,4352,QLD
562,HODGSON VALE,4352,QLD
563,KARARA,4352,QLD
564,KLEINTON,4352,QLD
565,KULPI,4352,QLD
566,KURROWAH,4352,QLD
567,LILYVALE,4352,QLD
568,MACLAGAN,4352,QLD
569,MALLING,4352,QLD
570,MERINGANDAN,4352,QLD
571,MERINGANDAN WEST,4352,QLD
572,MERRITTS CREEK,4352,QLD
573,MOUNT LUKE,4352,QLD
574,MUNIGANEEN,4352,QLD
